GeneSymbol,Description,NormalizedCounts m01 ,NormalizedCounts m02,NormalizedCounts m03,NormalizedCounts m04,NormalizedCounts m05,NormalizedCounts m06,NormalizedCounts m07,NormalizedCounts m08,NormalizedCounts m09,NormalizedCounts m10,NormalizedCounts v01,NormalizedCounts v02,NormalizedCounts v03,NormalizedCounts v04,NormalizedCounts v05,NormalizedCounts v06,NormalizedCounts v07,NormalizedCounts v08,NormalizedCounts v09,NormalizedCounts v10
A1BG,alpha-1-B glycoprotein,102.18,57.95,65.72,94.27,97.41,114.65,85.02,122.62,94.97,71.27,74.77,65.71,80.57,132.14,95.38,102.04,100.68,109.30,79.71,48.55
A1CF,APOBEC1 complementation factor,3.93,15.03,12.60,4.38,2.86,5.98,3.27,2.34,1.06,11.88,24.07,26.80,5.46,15.36,9.26,13.91,5.95,7.41,7.14,8.67
A2M,alpha-2-macroglobulin,697.54,1642.02,1020.86,472.44,1658.81,1382.84,433.25,1274.07,2163.25,523.75,817.36,1391.10,1096.54,515.23,1396.41,1580.47,634.36,1616.38,2099.85,945.01
A2ML1,alpha-2-macroglobulin like 1,0.00,1.07,0.90,4.38,0.72,1.00,1.63,2.34,0.00,0.00,0.00,5.19,2.73,1.02,0.00,0.00,2.17,0.00,0.00,0.00
A3GALT2,"alpha 1,3-galactosyltransferase 2",3.93,1.07,0.90,0.00,0.72,0.00,0.00,4.67,3.17,0.00,2.58,1.73,1.37,0.00,0.00,1.16,3.25,0.93,1.19,0.00
A4GALT,"alpha 1,4-galactosyltransferase (P blood group)",0.00,0.00,0.90,0.00,0.72,1.00,0.00,4.67,0.00,0.00,1.72,0.00,1.37,0.00,0.00,1.16,1.08,0.00,0.00,0.00
A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.00,0.00
AAAS,aladin WD repeat nucleoporin,349.75,399.24,373.59,347.48,344.51,373.87,426.71,405.23,388.33,458.95,374.73,364.85,344.12,441.48,456.52,346.71,366.44,405.72,450.90,279.17
AACS,acetoacetyl-CoA synthetase,228.91,192.11,185.45,166.61,199.83,252.24,389.11,206.70,234.26,269.97,208.85,229.98,206.20,224.33,217.61,235.39,269.01,213.97,189.16,161.26
AADAC,arylacetamide deacetylase,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.06,0.00,0.86,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.00,0.00
AAED1,AhpC/TSA antioxidant enzyme domain containing 1,149.33,169.57,105.33,107.42,138.95,129.61,133.25,121.45,138.24,98.27,128.06,130.55,72.37,121.89,135.20,164.66,109.88,116.71,101.13,64.16
AAGAB,alpha and gamma adaptin binding protein,461.75,496.90,492.42,475.73,432.61,525.42,572.22,458.94,486.47,494.59,526.00,500.59,376.89,405.63,376.88,495.13,500.67,436.28,488.97,449.09
AAK1,AP2 associated kinase 1,2526.88,2010.13,3101.28,1979.63,1947.45,1977.05,1483.69,1864.97,1895.22,1727.83,2417.69,2073.24,3732.05,2140.83,1698.28,2083.72,1890.10,2139.74,1983.26,3514.73
AAMDC,adipogenesis associated Mth938 domain containing,36.35,42.93,49.51,42.75,47.27,46.86,44.96,50.22,42.21,36.72,67.90,51.87,49.16,61.46,29.63,48.70,35.18,54.65,54.73,53.75
AAMP,angio associated migratory cell protein,618.95,607.44,502.33,506.42,603.07,597.20,741.43,646.96,620.48,653.33,600.77,601.74,469.75,678.10,667.65,550.79,565.08,641.92,562.74,511.52
AANAT,aralkylamine N-acetyltransferase,16.70,23.61,13.50,14.25,17.91,15.95,10.63,10.51,9.50,5.40,16.33,24.21,13.66,12.29,12.96,11.60,11.37,10.19,11.90,12.14
AAR2,AAR2 splicing factor homolog,410.67,472.21,394.30,405.57,421.86,462.61,430.80,468.29,405.21,504.31,324.88,433.15,348.22,459.92,410.22,405.84,381.05,394.60,380.71,393.61
AARD,alanine and arginine rich domain containing protein,0.00,0.00,0.00,0.00,0.00,1.99,3.27,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AARS,alanyl-tRNA synthetase,1377.40,1218.10,1412.45,1274.81,1140.25,1318.03,1361.89,1439.90,1676.78,1628.48,1500.63,1178.41,1122.48,1376.69,1271.40,1150.28,1185.37,1278.29,1732.23,1269.25
AARS2,"alanyl-tRNA synthetase 2, mitochondrial",557.05,614.95,594.15,610.55,623.84,525.42,496.20,599.08,516.01,601.50,548.34,606.06,602.21,756.97,600.05,531.08,439.51,638.22,511.58,558.33
AASDH,aminoadipate-semialdehyde dehydrogenase,312.42,327.33,390.70,308.02,314.43,320.04,317.99,362.02,280.69,346.65,381.60,364.85,415.13,307.30,295.39,284.09,372.39,389.04,329.55,327.72
AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,338.95,443.24,383.50,480.11,399.66,387.83,470.86,405.23,415.77,390.92,413.41,426.23,413.76,369.78,428.74,444.11,489.31,379.78,422.35,353.73
AASS,aminoadipate-semialdehyde synthase,67.79,75.13,82.82,69.06,116.75,80.76,63.76,124.95,118.19,124.19,118.61,59.66,75.11,82.97,101.86,85.81,67.66,78.74,129.68,91.90
AATF,apoptosis antagonizing transcription factor,640.56,841.40,705.78,712.49,898.88,711.86,827.27,844.32,764.00,862.83,794.15,876.68,622.69,870.67,738.95,729.36,822.73,735.48,761.42,743.87
AATK,apoptosis associated tyrosine kinase,10.81,23.61,6.30,8.77,11.46,22.93,8.99,5.84,17.94,10.80,18.05,20.75,8.19,17.41,4.63,20.87,6.50,8.34,14.28,17.34
ABAT,4-aminobutyrate aminotransferase,190.60,199.62,183.65,300.34,276.47,319.04,401.37,217.21,254.31,355.28,191.66,184.15,155.67,200.77,261.13,240.03,374.02,211.20,195.11,310.38
ABCA1,ATP binding cassette subfamily A member 1,6.88,9.66,17.10,4.38,8.59,5.98,16.35,12.85,13.72,15.12,12.03,2.59,4.10,2.05,8.33,3.48,19.49,20.38,14.28,8.67
ABCA10,ATP binding cassette subfamily A member 10,72.70,96.59,112.53,92.08,105.29,61.81,57.22,66.56,82.31,65.87,70.48,87.32,116.07,60.43,94.45,78.85,63.87,75.03,58.30,162.99
ABCA12,ATP binding cassette subfamily A member 12,0.98,2.15,1.80,4.38,3.58,1.00,4.90,0.00,6.33,8.64,0.86,6.05,4.10,0.00,0.00,4.64,2.71,0.93,3.57,1.73
ABCA13,ATP binding cassette subfamily A member 13,0.00,0.00,0.00,0.00,0.72,0.00,2.45,0.00,8.44,1.08,0.00,0.86,1.37,0.00,0.00,1.16,1.62,0.00,3.57,5.20
ABCA2,ATP binding cassette subfamily A member 2,1025.68,883.26,731.88,760.72,1288.51,1455.62,979.32,780.09,977.15,627.42,934.24,916.45,734.67,977.20,1184.35,1096.94,803.78,862.38,1048.14,721.32
ABCA3,ATP binding cassette subfamily A member 3,262.32,320.89,239.46,328.84,307.27,323.03,235.43,210.20,176.23,178.18,266.44,300.87,247.16,384.12,312.99,300.32,199.73,235.28,189.16,213.28
ABCA4,ATP binding cassette subfamily A member 4,0.98,0.00,0.90,3.29,4.30,0.00,1.63,3.50,0.00,0.00,0.00,0.00,0.00,3.07,0.00,1.16,0.54,1.85,0.00,0.00
ABCA5,ATP binding cassette subfamily A member 5,800.70,728.71,1081.17,993.10,1138.82,902.28,640.07,983.29,936.00,778.60,780.40,797.14,1284.98,759.02,985.26,1084.18,897.96,1009.66,900.61,1173.89
ABCA6,ATP binding cassette subfamily A member 6,10.81,11.81,32.41,23.02,32.23,8.97,4.90,26.86,4.22,8.64,25.78,19.89,28.68,13.32,23.15,16.23,14.07,16.67,10.71,29.48
ABCA7,ATP binding cassette subfamily A member 7,2184.00,2816.12,3464.97,3536.15,3468.74,3267.16,2188.34,2724.47,2620.17,2360.64,2126.33,2731.18,3643.29,4742.60,4041.06,3141.23,2271.70,2859.47,3056.38,2748.32
ABCA9,ATP binding cassette subfamily A member 9,0.98,1.07,9.90,3.29,5.73,0.00,0.00,0.00,3.17,4.32,1.72,6.05,4.10,4.10,5.56,2.32,3.79,0.00,0.00,10.40
ABCB1,ATP binding cassette subfamily B member 1,501.05,397.09,290.77,247.73,339.50,345.96,268.94,503.32,424.21,306.69,488.18,409.81,230.78,202.82,375.03,367.58,286.33,520.58,402.12,331.19
ABCB10,ATP binding cassette subfamily B member 10,389.05,392.80,365.49,487.78,430.46,481.55,599.20,373.70,491.74,508.63,408.25,392.52,350.95,427.14,424.11,440.63,593.77,386.26,381.90,404.01
ABCB4,ATP binding cassette subfamily B member 4,4.91,3.22,9.90,2.19,3.58,1.99,8.99,9.34,11.61,14.04,4.30,9.51,16.39,6.15,6.48,5.80,1.62,10.19,7.14,15.61
ABCB5,ATP binding cassette subfamily B member 5,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00
ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group),132.63,137.37,153.94,128.25,145.40,117.65,146.33,164.66,131.91,139.31,134.08,113.26,128.36,192.57,156.49,133.35,130.45,159.32,122.54,161.26
ABCB7,ATP binding cassette subfamily B member 7,386.11,435.73,448.31,405.57,391.07,416.75,394.83,372.53,528.68,466.51,388.48,409.81,438.34,396.41,356.51,469.62,461.16,388.12,402.12,452.56
ABCB8,ATP binding cassette subfamily B member 8,472.56,529.10,591.45,552.46,526.43,489.53,451.24,520.84,497.02,536.71,455.52,550.73,685.51,614.59,602.83,473.10,431.93,512.24,521.10,520.19
ABCB9,ATP binding cassette subfamily B member 9,533.47,552.71,498.72,530.53,633.87,550.34,609.82,607.26,589.88,557.22,464.97,587.91,527.10,657.61,749.13,562.38,535.85,605.80,646.02,464.70
ABCC1,ATP binding cassette subfamily C member 1,2143.72,1634.51,1727.53,1523.64,1575.01,2053.82,2003.59,1799.58,2068.28,1618.76,1895.13,1593.41,1600.42,1663.49,1371.40,1833.26,1703.37,1642.32,1835.73,1822.39
ABCC10,ATP binding cassette subfamily C member 10,732.91,706.18,765.19,644.53,706.93,761.71,787.21,698.34,685.91,682.49,646.32,704.63,850.74,839.94,725.06,731.68,719.34,829.03,610.32,879.11
